,0,1
0,1873.0,1523.0
1,2205.0,1606.0
2,1902.0,1650.0
3,1389.0,1083.0
4,1849.0,1438.0
5,1773.0,1579.0
6,1236.0,998.0
7,1785.0,1031.0
8,1606.0,1108.0
9,1787.0,1472.0
10,1602.0,1164.0
11,1424.0,1393.0
12,1188.0,938.0
13,1397.0,1085.0
14,1830.0,1663.0
15,1759.0,1232.0
16,1735.0,1528.0
17,1846.0,1244.0
18,1194.0,1005.0
19,1578.0,1513.0
20,1912.0,1462.0
21,1739.0,1408.0
22,1181.0,835.0
23,1608.0,1440.0
24,1062.0,816.0
25,1646.0,1159.0
26,1749.0,1388.0
27,1870.0,1648.0
28,2044.0,1514.0
29,1107.0,818.0
30,1804.0,1622.0
31,2045.0,1544.0
32,2267.0,1640.0
33,1427.0,1215.0
34,1661.0,996.0
35,1664.0,1258.0
36,1706.0,1356.0
37,1121.0,800.0
38,1818.0,1400.0
39,1751.0,1345.0
40,2044.0,1514.0
41,1194.0,909.0
42,1465.0,1164.0
43,1498.0,1335.0
44,1300.0,1048.0
45,1963.0,2088.0
46,2570.0,2040.0
47,1346.0,910.0
48,1678.0,1258.0
49,2970.0,2460.0
50,1205.0,919.0
51,2164.0,1714.0
52,2044.0,1514.0
53,1684.0,1546.0
54,1770.0,1322.0
55,1165.0,910.0
56,1349.0,1015.0
57,1634.0,1083.0
58,1765.0,1479.0
59,2164.0,1714.0
60,1115.0,879.0
61,1590.0,1137.0
62,2137.0,1937.0
63,1481.0,971.0
64,2171.0,1429.0
65,1567.0,1577.0
66,1377.0,1004.0
67,1492.0,1000.0
68,1832.0,1729.0
69,1329.0,1171.0
70,1203.0,769.0
71,1237.0,1003.0
72,1979.0,1593.0
73,1762.0,1440.0
74,1522.0,1207.0
75,1959.0,1424.0
76,1403.0,902.0
77,2023.0,1843.0
78,1660.0,1331.0
79,1730.0,1380.0
80,1522.0,1231.0
81,1695.0,1199.0
82,1436.0,938.0
83,1828.0,1170.0
84,2044.0,1514.0
85,1761.0,1203.0
86,1636.0,1356.0
87,1450.0,1423.0
88,2639.0,2270.0
89,1649.0,1412.0
90,2021.0,1608.0
91,2044.0,1514.0
92,2111.0,1300.0
93,1297.0,978.0
94,1122.0,1000.0
95,1514.0,2044.0
96,1301.0,859.0
97,1605.0,1309.0
98,1262.0,1022.0
99,2570.0,2040.0
100,1785.0,1362.0
101,1409.0,1287.0
102,2155.0,1587.0
103,1341.0,926.0
104,2570.0,2040.0
105,1485.0,1341.0
106,2044.0,1514.0
107,1441.0,1160.0
108,1635.0,1121.0
109,2570.0,2040.0
110,2614.0,2164.0
111,1253.0,1020.0
112,1253.0,973.0
113,1424.0,1144.0
114,1797.0,1667.0
115,1226.0,1061.0
116,2320.0,1720.0
117,1250.0,875.0
118,1563.0,1188.0
119,1833.0,1456.0
120,2044.0,1514.0
121,1001.0,800.0
122,1991.0,1188.0
123,1139.0,945.0
124,1406.0,1114.0
125,1776.0,1384.0
126,1036.0,822.0
127,1398.0,1048.0
128,1173.0,931.0
129,1366.0,1072.0
130,1397.0,1174.0
131,1679.0,1288.0
132,1638.0,1322.0
133,1831.0,1197.0
134,2044.0,1514.0
135,1191.0,1021.0
136,1819.0,1348.0
137,1553.0,1263.0
138,1928.0,1265.0
139,1694.0,1247.0
140,1325.0,1267.0
141,1474.0,1175.0
142,1654.0,1128.0
143,1671.0,1406.0
144,1817.0,1232.0
145,1473.0,1239.0
146,1322.0,998.0
147,2570.0,2040.0
148,1496.0,1090.0
149,1801.0,1116.0
150,2044.0,1514.0
151,1538.0,1430.0
152,1748.0,1664.0
153,1421.0,1100.0
154,1812.0,1212.0
155,1189.0,1025.0
156,2614.0,2164.0
157,1631.0,1007.0
158,2970.0,2460.0
159,1535.0,1237.0
