,0,1
0,826.0,1132.0
1,1805.0,1423.0
2,1231.0,1231.0
3,1800.0,1188.0
4,1347.0,1157.0
5,1329.0,1204.0
6,1575.0,1080.0
7,1550.0,1471.0
8,2570.0,2040.0
9,1695.0,1436.0
10,1739.0,1320.0
11,1676.0,1009.0
12,1726.0,1118.0
13,1444.0,1219.0
14,1869.0,1846.0
15,1452.0,1529.0
16,1398.0,1412.0
17,1794.0,1515.0
18,2570.0,2040.0
19,1329.0,1147.0
20,2570.0,2040.0
21,1790.0,1328.0
22,1696.0,1360.0
23,1496.0,1148.0
24,1068.0,1205.0
25,1665.0,1422.0
26,1779.0,1427.0
27,1570.0,1456.0
28,1362.0,1254.0
29,1410.0,1310.0
30,1425.0,1317.0
31,1405.0,1154.0
32,1797.0,1164.0
33,1418.0,1267.0
34,1525.0,1092.0
35,1931.0,1333.0
36,1889.0,1512.0
37,1483.0,1137.0
38,1536.0,988.0
39,1531.0,1167.0
40,1358.0,1077.0
41,1025.0,1141.0
42,1748.0,1491.0
43,1451.0,1011.0
44,1536.0,1676.0
45,1552.0,1202.0
46,1810.0,1589.0
47,1327.0,902.0
48,1751.0,1145.0
49,2403.0,2110.0
50,1640.0,1171.0
51,1183.0,765.0
52,1852.0,1746.0
53,1742.0,1308.0
54,1893.0,1344.0
55,1456.0,1098.0
56,1757.0,1155.0
57,1624.0,1487.0
58,1988.0,1911.0
59,1622.0,1398.0
60,1326.0,1327.0
61,2022.0,2022.0
62,1734.0,1454.0
63,1596.0,1552.0
64,1643.0,1478.0
65,1715.0,1413.0
66,2928.0,2328.0
67,1616.0,1179.0
68,1930.0,1090.0
69,1748.0,1342.0
70,2044.0,1514.0
71,1195.0,921.0
72,1591.0,995.0
73,1612.0,1320.0
74,1171.0,1182.0
75,1474.0,1324.0
76,1795.0,1163.0
77,1418.0,1165.0
78,2014.0,1230.0
79,1459.0,1362.0
80,2920.0,2320.0
81,1398.0,1356.0
82,1397.0,1464.0
83,1777.0,1370.0
84,1210.0,1139.0
85,2141.0,1496.0
86,1642.0,1225.0
87,1034.0,930.0
88,1393.0,952.0
89,2019.0,1489.0
90,1900.0,1367.0
91,2154.0,1734.0
92,1376.0,1231.0
93,1419.0,1500.0
94,1624.0,1325.0
95,1710.0,1393.0
96,1496.0,1258.0
97,1201.0,800.0
98,1036.0,1113.0
99,1751.0,1357.0
100,1517.0,1148.0
101,1284.0,823.0
102,1724.0,1554.0
103,1423.0,1249.0
104,1588.0,1041.0
105,1499.0,1203.0
106,1639.0,1456.0
107,1464.0,1204.0
108,1562.0,1092.0
109,1261.0,926.0
110,1431.0,911.0
111,1310.0,1410.0
112,1570.0,1304.0
113,2044.0,1514.0
114,1444.0,1246.0
115,1619.0,1424.0
116,2055.0,1392.0
117,1916.0,1818.0
118,1398.0,1048.0
119,1646.0,1112.0
120,1870.0,1405.0
121,1117.0,1031.0
122,1489.0,1211.0
123,1724.0,1374.0
124,1230.0,896.0
125,1499.0,1362.0
126,1217.0,879.0
127,1519.0,1232.0
128,1177.0,920.0
129,1399.0,1232.0
130,1510.0,1216.0
131,1384.0,1284.0
132,1763.0,1321.0
133,1566.0,1328.0
134,1771.0,1069.0
135,2098.0,1692.0
136,1446.0,1348.0
137,1667.0,1159.0
138,1477.0,1222.0
139,1452.0,1092.0
140,1482.0,1678.0
141,1398.0,1068.0
142,2845.0,2829.0
143,1453.0,1120.0
144,1559.0,1192.0
145,2044.0,1514.0
146,1538.0,1272.0
147,1622.0,1650.0
148,1323.0,1201.0
149,1607.0,1411.0
150,1625.0,1387.0
151,1119.0,1113.0
152,2084.0,1986.0
153,1516.0,1143.0
154,1747.0,1328.0
155,1087.0,1076.0
156,1846.0,1594.0
157,2061.0,1427.0
158,2022.0,2022.0
159,2224.0,1650.0
160,1910.0,1538.0
161,2017.0,1336.0
162,1639.0,1314.0
163,1514.0,1047.0
164,1616.0,1334.0
165,1220.0,1007.0
166,1729.0,1335.0
167,1432.0,1109.0
168,1261.0,945.0
169,1502.0,992.0
170,1683.0,1256.0
171,2015.0,1516.0
172,2044.0,1514.0
173,1471.0,800.0
174,1295.0,977.0
175,1357.0,1273.0
176,1482.0,1216.0
177,1599.0,1413.0
178,2169.0,1528.0
179,1670.0,940.0
180,2570.0,2040.0
181,2205.0,1606.0
182,1659.0,1356.0
183,1228.0,992.0
184,1569.0,1269.0
185,1480.0,1230.0
186,1465.0,1122.0
187,1593.0,1455.0
188,1943.0,1236.0
189,1706.0,1706.0
190,2570.0,2040.0
191,1711.0,1280.0
192,1871.0,1588.0
193,1576.0,1006.0
194,2570.0,2040.0
195,1566.0,1424.0
196,1720.0,1496.0
197,1303.0,1032.0
